,Theta,A-X (meter),A-Y (meter),B-X (meter),B-Y (meter),C-X (meter),C-Y (meter),D-X (meter),D-Y (meter),D0-X (meter),D0-Y (meter),A-X Vel (meter/sec),A-Y Vel (meter/sec),B-X Vel (meter/sec),B-Y Vel (meter/sec),C-X Vel (meter/sec),C-Y Vel (meter/sec),D-X Vel (meter/sec),D-Y Vel (meter/sec),D0-X Vel (meter/sec),D0-Y Vel (meter/sec),A-X Acc (meter/sec**2),A-Y Acc (meter/sec**2),B-X Acc (meter/sec**2),B-Y Acc (meter/sec**2),C-X Acc (meter/sec**2),C-Y Acc (meter/sec**2),D-X Acc (meter/sec**2),D-Y Acc (meter/sec**2),D0-X Acc (meter/sec**2),D0-Y Acc (meter/sec**2)
148,-3.130607949,0.000335798,-0.030568342,-0.026261104,0.057207765,0.156962665,0.355429306,0.1647468,0.341108834,-0.020939979,0.039652544,0.096029623,0.001000147,0.030637694,-0.018822172,-0.182878151,0.11235065,-0.17222077,0.1181246,0.04371608,-0.014857709,-0.003141937,0.301697449,-0.238956662,0.17701855,1.426346055,-1.056633564,1.459570111,-1.028373972,-0.191793716,0.201954336
149,-3.07825117,0.001935124,-0.030509788,-0.025783976,0.056918282,0.154114661,0.357157245,0.162080959,0.342936974,-0.020238411,0.039432668,0.095845676,0.00602477,0.026601077,-0.015937845,-0.158783349,0.095133959,-0.147585963,0.10138668,0.040449997,-0.011545323,-0.018926652,0.301119535,-0.24492989,0.169071695,1.4620005,-1.009192206,1.493545011,-0.980007762,-0.199729236,0.195481045
150,-3.025895925,0.003529194,-0.030367608,-0.025374816,0.056675762,0.15167236,0.35860486,0.159829579,0.344492896,-0.019592269,0.039267088,0.095399023,0.011032879,0.022489894,-0.01318683,-0.134243498,0.078713007,-0.122535587,0.085459533,0.037071719,-0.008342893,-0.034659491,0.299716281,-0.247919795,0.1610601,1.479851426,-0.961366243,1.509531866,-0.931338658,-0.205267612,0.188791482
151,-2.973542187,0.005113639,-0.030142193,-0.025034459,0.056477984,0.149640747,0.35978541,0.157997127,0.345790096,-0.019003094,0.039153949,0.094690887,0.016010748,0.018352587,-0.01056849,-0.109547664,0.06308404,-0.097361821,0.070337887,0.033620246,-0.005252648,-0.050297334,0.297491523,-0.248105567,0.15318109,1.480956454,-0.914341705,1.508592989,-0.883520791,-0.208543901,0.182043094
152,-2.921189922,0.006684115,-0.029834161,-0.024762961,0.056322763,0.148020162,0.360711932,0.156583378,0.346841826,-0.0184718,0.039091379,0.093723211,0.020944733,0.014233782,-0.008079012,-0.084962277,0.048224246,-0.072334149,0.055997527,0.030131668,-0.002274269,-0.065797314,0.294451362,-0.245753804,0.145623671,1.466919027,-0.869231741,1.492324309,-0.837742221,-0.209762471,0.175389215
153,-2.868839095,0.008236318,-0.029444354,-0.024559678,0.056208005,0.146806753,0.361396934,0.155583858,0.347660783,-0.017998733,0.039077533,0.092498645,0.02582131,0.010172953,-0.005711734,-0.060722956,0.034093854,-0.047691245,0.042396696,0.026638092,0.000594869,-0.081116948,0.29060413,-0.241210416,0.138540851,1.439798976,-0.826955738,1.462791934,-0.794926041,-0.209191696,0.168953541
154,-2.816489666,0.009765994,-0.028973843,-0.024423356,0.056131743,0.145993041,0.361852143,0.154990418,0.348258841,-0.017583741,0.039110626,0.091020548,0.030627112,0.006203462,-0.003457659,-0.037028836,0.020639162,-0.023635217,0.029479294,0.02316688,0.00335929,-0.096214246,0.285960373,-0.234860081,0.132057234,1.401893225,-0.788256403,1.422299846,-0.755842648,-0.207130896,0.162837919
155,-2.764141593,0.01126895,-0.028423917,-0.024352241,0.05609218,0.145568549,0.362088297,0.154791863,0.348646845,-0.017226257,0.039188961,0.089292969,0.035348967,0.002352107,-0.001305987,-0.014039877,0.007795712,-0.000328823,0.017178066,0.01974028,0.006024999,-0.111047828,0.280532817,-0.227100738,0.126264987,1.355577107,-0.753683705,1.373236528,-0.721064704,-0.203890146,0.157118627
156,-2.711794831,0.012741067,-0.027796083,-0.024344185,0.056087708,0.145520464,0.362114991,0.154974618,0.348834445,-0.016925389,0.03931095,0.087320645,0.039973934,-0.001360981,0.000755349,0.008123779,-0.00450883,0.022105398,0.005417574,0.016375344,0.008599069,-0.125577039,0.274336335,-0.218299222,0.121227204,1.303036568,-0.723560139,1.317785032,-0.690939106,-0.19975464,0.151847784
157,-2.659449332,0.014178309,-0.027092061,-0.024396758,0.056116928,0.145834273,0.361940574,0.155523367,0.348829993,-0.016679999,0.03947513,0.08510898,0.044489334,-0.00492151,0.002739252,0.029376775,-0.016350763,0.043579623,-0.005882019,0.013084588,0.011089269,-0.139762045,0.267387928,-0.208866258,0.116975366,1.246734678,-0.69823311,1.258499324,-0.665815063,-0.195045417,0.147057888
